GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,MyMoves,Blunders,Mistakes,Inaccuracies,TotalCPLoss,AvgCPLoss,MedianMoveCPLoss
45,2026.02.28,Black,HAYDARTAABATA123456789,Win,180+2,KatsMeow23 won by resignation,37,1,2,9,2439,65.91891891891892,28.0
46,2026.02.28,White,chovochobo,Loss,600,chovochobo won by resignation,24,1,3,7,1928,80.33333333333333,37.5
47,2026.02.28,Black,vivekmhw,Win,600,KatsMeow23 won by resignation,14,1,1,3,986,70.42857142857143,28.5
48,2026.02.28,Black,Narciso59,Loss,600,Narciso59 won by resignation,24,2,3,6,2165,90.20833333333333,27.0
49,2026.02.28,Black,808Shiny,Win,180+2,KatsMeow23 won by resignation,12,0,0,2,318,26.5,19.5
50,2026.02.28,White,yaqoob_123,Win,600,KatsMeow23 won by resignation,21,0,2,5,894,42.57142857142857,13.0
51,2026.02.28,White,Largo3893,Win,600,KatsMeow23 won by resignation,39,2,2,8,2471,63.35897435897436,27.0
52,2026.02.28,Black,DonDimonq,Loss,600,DonDimonq won by checkmate,18,2,0,8,2164,120.22222222222223,52.0
53,2026.02.28,Black,huargomalo,Loss,180+2,huargomalo won by checkmate,18,2,2,2,2444,135.77777777777777,24.0
54,2026.02.28,White,alaskanNight,Loss,180+2,alaskanNight won on time,30,3,3,7,3796,126.53333333333333,33.0
55,2026.03.01,Black,paconuba,Win,180+2,KatsMeow23 won by checkmate,28,0,4,9,1877,67.03571428571429,46.5
56,2026.03.01,Black,Z4k1_y10,Loss,600,Z4k1_y10 won by checkmate,28,4,2,5,3458,123.5,39.0
57,2026.03.01,White,dudital,Loss,600,dudital won by resignation,27,3,3,7,4227,156.55555555555554,46.0
58,2026.03.01,White,Freddy0929,Loss,600,Freddy0929 won on time,30,0,6,7,2167,72.23333333333333,43.0
59,2026.03.01,White,matguerin1,Loss,600,matguerin1 won by resignation,26,1,3,10,2084,80.15384615384616,50.5
60,2026.03.01,Black,AnarMustafayev06,Win,600,KatsMeow23 won by checkmate,18,1,1,3,1152,64.0,21.5
61,2026.03.01,White,pbparreira,Win,600,KatsMeow23 won by resignation,29,2,4,3,3389,116.86206896551724,24.0
62,2026.03.01,White,darknorh,Loss,600,darknorh won by resignation,27,0,5,4,1548,57.333333333333336,23.0
63,2026.03.02,Black,krey244,Loss,600,krey244 won on time,47,3,0,14,4475,95.2127659574468,30.0
64,2026.03.02,White,Rahimoff_90,Win,600,KatsMeow23 won by checkmate,13,2,2,2,2268,174.46153846153845,25.0
65,2026.03.02,Black,Maxi_691995,Loss,600,Maxi_691995 won on time,33,1,2,13,2963,89.78787878787878,40.0
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,56,5,3,12,4999,89.26785714285714,21.5
67,2026.03.02,Black,Ahmedfoxk,Loss,180+2,Ahmedfoxk won on time,20,3,1,5,2650,132.5,43.5
68,2026.03.02,White,Pranav_Chauhan1,Loss,180+2,Pranav_Chauhan1 won on time,35,1,0,8,1572,44.91428571428571,29.0
69,2026.03.02,White,Coach-David,Win,-,KatsMeow23 won by checkmate,48,0,1,9,1395,29.0625,18.5
70,2026.02.28,White,REALdtdamazing,Win,1/86400,KatsMeow23 won by checkmate,22,2,3,2,1669,75.86363636363636,23.5
71,2026.02.28,White,felipelucena00,Win,1/86400,KatsMeow23 won by resignation,30,0,4,10,1853,61.766666666666666,45.0
72,2026.03.03,White,Olavo_25,Win,180+2,KatsMeow23 won on time,25,0,4,5,1555,62.2,15.0
73,2026.03.03,Black,Polok_13,Win,180+2,KatsMeow23 won by resignation,27,1,3,8,1842,68.22222222222223,27.0
74,2026.03.03,White,BossJaben,Loss,180+2,BossJaben won on time,18,4,2,4,3348,186.0,73.0
75,2026.03.03,Black,hugouda,Win,180+2,KatsMeow23 won by checkmate,33,1,3,7,2425,73.48484848484848,20.0
76,2026.03.03,Black,nofranks,Win,180+2,KatsMeow23 won by resignation,22,0,0,9,856,38.90909090909091,26.5
77,2026.03.03,White,iam_yash,Loss,180+2,iam_yash won by checkmate,14,1,2,0,1619,115.64285714285714,16.5
78,2026.02.28,Black,Ben749-947,Loss,1/86400,Ben749-947 won by resignation,23,1,2,10,1665,72.3913043478261,52.0
79,2026.03.03,White,7743_esuF,Loss,180+2,7743_esuF won on time,34,2,3,15,3107,91.38235294117646,61.5
80,2026.03.03,Black,ChessWinnahh,Loss,180+2,ChessWinnahh won on time,30,2,6,3,2946,98.2,25.0
81,2026.03.03,White,gatopardd,Loss,600,gatopardd won by checkmate,57,2,2,16,3438,60.31578947368421,25.0
82,2026.03.04,Black,Arkana55,Loss,180+2,Arkana55 won on time,36,2,0,10,2143,59.52777777777778,18.5
83,2026.03.04,White,CrispyWombat,Win,600,KatsMeow23 won by resignation,38,1,0,9,1508,39.68421052631579,12.0
84,2026.03.04,White,ARPAN_THUNDER,Win,600,KatsMeow23 won by resignation,11,0,1,1,349,31.727272727272727,2.0
85,2026.03.04,Black,raj2945,Loss,600,raj2945 won by checkmate,27,1,2,8,2371,87.81481481481481,31.0
86,2026.03.04,White,jcsscj,Win,600,KatsMeow23 won by checkmate,20,0,0,4,459,22.95,8.5
87,2026.03.04,Black,miyajun_kaku,Win,600,KatsMeow23 won by resignation,45,1,3,10,2069,45.977777777777774,16.0
88,2026.03.04,Black,Sebastian-Carlsen,Loss,180+2,Sebastian-Carlsen won by resignation,20,2,1,6,2221,111.05,26.5
89,2026.03.04,White,Bltz_lister,Loss,180+2,Bltz_lister won on time,22,1,5,5,1944,88.36363636363636,43.5
90,2026.03.05,Black,dufus3000,Loss,180+2,dufus3000 won by checkmate,25,3,2,5,3141,125.64,44.0
91,2026.03.05,White,Knoxvill3,Win,180+2,KatsMeow23 won by checkmate,54,6,6,13,6632,122.81481481481481,27.0
92,2026.03.05,Black,Andr021,Win,600,KatsMeow23 won by checkmate,37,4,3,9,4393,118.72972972972973,37.0
93,2026.03.05,White,Preeti_Kapoor,Win,600,KatsMeow23 won by resignation,23,0,0,5,552,24.0,4.0
