GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel,MoveNumber,SideToMove,MoveSAN,FENBefore,MoveTypeV1,SANTypeV1,BoardZoneV1,PhaseLabelV1,BlunderClassV2
149,2026.03.10,Black,khaled_kerm,Loss,180+2,khaled_kerm won by checkmate,90,Endgame,e5f5,-1033,-9994,8961,1000,Blunder,45,Black,Kf5,8/1P6/N7/4k2p/3R1p2/2P5/4BKPP/8 b - - 0 45,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
150,2026.03.10,Black,Giankioski,Loss,180+2,Giankioski won by checkmate,24,Middlegame,e5e4,-462,-798,336,336,Blunder,12,Black,Qxe4,rnb1k1nr/1p1p1ppp/p3p3/4qN2/3BP3/8/P1P1BPPP/R2Q1RK1 b kq - 3 12,Piece move,Capture,Central-related,Early middlegame blunder,Unsafe capture
150,2026.03.10,Black,Giankioski,Loss,180+2,Giankioski won by checkmate,28,Middlegame,e7d8,-375,-9995,9620,1000,Blunder,14,Black,Kd8,rnb3nr/1p1pkpNp/p3p3/2B5/4q3/8/P1P1BPPP/R2Q1RK1 b - - 2 14,Pawn move,King move,Central-related,Early middlegame blunder,Unsafe king move
150,2026.03.10,Black,Giankioski,Loss,180+2,Giankioski won by checkmate,30,Middlegame,d8e7,-658,-1006,348,348,Blunder,15,Black,Ke7,rnbk2nr/1p1p1pNp/pB2p3/8/4q3/8/P1P1BPPP/R2Q1RK1 b - - 4 15,Piece move,King move,Central-related,Early middlegame blunder,Unsafe king move
150,2026.03.10,Black,Giankioski,Loss,180+2,Giankioski won by checkmate,32,Middlegame,e7d8,-1060,-9995,8935,1000,Blunder,16,Black,Kd8,rnb3nr/1p1pkpNp/p3p3/2B5/4q3/8/P1P1BPPP/R2Q1RK1 b - - 6 16,Pawn move,King move,Central-related,Middlegame blunder,Unsafe king move
151,2026.03.10,White,jaasonjones,Loss,180+2,jaasonjones won by checkmate,39,Middlegame,b5a6,468,-391,859,859,Blunder,20,White,Qa6,rn5k/p1p3pp/1pb2q2/1Q3pn1/3P4/P3PP2/1P2B1PP/R1B2RK1 w - - 3 20,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
151,2026.03.10,White,jaasonjones,Loss,180+2,jaasonjones won by checkmate,59,Endgame,g2h2,-350,-9993,9643,1000,Blunder,30,White,Rh2,7k/p1p4p/Bpb4r/1n3p2/1B1P1Pq1/P3P1P1/1P4R1/R5K1 w - - 1 30,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
151,2026.03.10,White,jaasonjones,Loss,180+2,jaasonjones won by checkmate,61,Endgame,h2h6,-553,-9999,9446,1000,Blunder,31,White,Rxh6,7k/p1p4p/Bpb4r/1n3p2/1B1P1P2/P3PqP1/1P5R/R5K1 w - - 3 31,Pawn move,Capture,Kingside-related,Endgame blunder,Kingside weakening move
152,2026.03.10,Black,gsilva1215,Loss,600,gsilva1215 won by resignation,30,Middlegame,c6a5,-94,-436,342,342,Blunder,15,Black,Na5,r1b2rk1/1p4pp/p1nbpp2/5n2/8/P1N1BNPB/1PP2P1P/2KR3R b - - 2 15,Piece move,Non-capture,Queenside-related,Early middlegame blunder,Quiet move blunder
152,2026.03.10,Black,gsilva1215,Loss,600,gsilva1215 won by resignation,70,Endgame,f3d4,-589,-9999,9410,1000,Blunder,35,Black,Nd4,1rN3R1/8/7R/5pp1/P5k1/5nP1/2PN1P2/2K5 b - - 2 35,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
154,2026.03.10,White,Jebz-fr,Loss,1/86400,Jebz-fr won by resignation,35,Middlegame,e4f6,394,23,371,371,Blunder,18,White,Nf6+,2rq1rk1/pbp1bp1p/1p2p1p1/n3P1P1/3PNB2/3B1N2/PPQ2P1P/R4RK1 w - - 1 18,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
154,2026.03.10,White,Jebz-fr,Loss,1/86400,Jebz-fr won by resignation,41,Endgame,f4e3,-207,-9998,9791,1000,Blunder,21,White,Be3,2r2rk1/p1p2p1p/1p2pPp1/n3P3/3q1B1P/3B1b2/PPQ2P2/R4RK1 w - - 0 21,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
155,2026.03.12,White,Jeszicat,Draw,180+2,Game drawn by stalemate,95,Middlegame,f3d4,191,-194,385,385,Blunder,48,White,Nd4,8/8/4pk2/5p2/1R6/5NP1/1pr2P2/5K2 w - - 10 48,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
155,2026.03.12,White,Jeszicat,Draw,180+2,Game drawn by stalemate,97,Middlegame,d4b3,-1,-488,487,487,Blunder,49,White,Nb3,8/8/4pk2/5p2/1R1N4/6P1/1p1r1P2/5K2 w - - 12 49,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
155,2026.03.12,White,Jeszicat,Draw,180+2,Game drawn by stalemate,139,Endgame,f2e2,-9,-616,607,607,Blunder,70,White,Re2,8/8/8/8/5p2/4rPk1/5R2/5K2 w - - 15 70,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
155,2026.03.12,White,Jeszicat,Draw,180+2,Game drawn by stalemate,141,Endgame,f1e1,-24,-435,411,411,Blunder,71,White,Ke1,8/8/8/8/5p2/5rk1/4R3/5K2 w - - 0 71,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
156,2026.03.12,Black,mlemich25,Loss,180+2,mlemich25 won on time,36,Middlegame,b8a7,452,-338,790,790,Blunder,18,Black,Ka7,rk3b2/1b1N2rp/p2P2p1/1pp5/8/5P2/PPP3PP/2KR1B1R b - - 0 18,Piece move,King move,Queenside-related,Middlegame blunder,Unsafe king move
157,2026.03.12,Black,islamilen,Loss,180+2,islamilen won on time,20,Opening,f6e4,314,-245,559,559,Blunder,10,Black,Ne4,r2qk2r/1b1p1ppp/p3pn2/1pb1P3/3n4/P1NQ4/2PPBPPP/R1B1K1NR b KQkq - 0 10,Piece move,Non-capture,Kingside-related,Opening blunder,Quiet move blunder
157,2026.03.12,Black,islamilen,Loss,180+2,islamilen won on time,22,Middlegame,d7d5,-289,-594,305,305,Blunder,11,Black,d5,r2qk2r/1b1p1ppp/p3p3/1pb1P3/3nN3/P2Q4/2PPBPPP/R1B1K1NR b KQkq - 0 11,Pawn move,Non-capture,Central-related,Early middlegame blunder,Pawn structure / push blunder
157,2026.03.12,Black,islamilen,Loss,180+2,islamilen won on time,36,Middlegame,e5e4,381,-229,610,610,Blunder,18,Black,e4,r4rk1/3q2pp/p7/1pb1pp2/7Q/PnPB4/3P1PPP/1RB1K1NR b K - 2 18,Piece move,Non-capture,Central-related,Middlegame blunder,Quiet move blunder
157,2026.03.12,Black,islamilen,Loss,180+2,islamilen won on time,52,Endgame,c5e7,320,-9999,10319,1000,Blunder,26,Black,Be7,2r3k1/r6p/p3NQp1/2b2p2/2pPp3/PnP5/2q2PPP/2B2RK1 b - d3 0 26,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,33,Middlegame,b5d3,572,-437,1009,1000,Blunder,17,White,Bd3,r1b3k1/ppp2r1p/1bn2pnB/1B1p4/6QN/2P1P3/P4PPP/R4RK1 w - - 0 17,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,71,Middlegame,f4g3,9996,526,9470,1000,Blunder,36,White,Bg3+,8/1p4r1/1bpR1p2/p7/2B2B1k/2P1PP2/P5PK/8 w - - 0 36,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,77,Middlegame,f5e5,527,-773,1300,1000,Blunder,39,White,Re5,8/1p4r1/2p3k1/p4R2/2B5/2P1bPB1/P5PK/8 w - - 2 39,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,89,Middlegame,f5c2,346,-280,626,626,Blunder,45,White,Bc2,8/1p1r4/2p5/p1k2B2/8/2P2PB1/P2b2PK/8 w - - 0 45,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,97,Endgame,g2g3,401,-226,627,627,Blunder,49,White,g3,8/1p3r2/2p5/p4P2/2k4B/2b5/P1B3PK/8 w - - 3 49,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,99,Endgame,h2h3,374,-248,622,622,Blunder,50,White,Kh3,8/5r2/2p5/pp3P2/2k4B/2b3P1/P1B4K/8 w - - 0 50,Pawn move,King move,Kingside-related,Endgame blunder,Unsafe king move
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,101,Endgame,g3g4,410,-149,559,559,Blunder,51,White,g4,8/5r2/2p5/pp3P2/2k4B/6PK/P1Bb4/8 w - - 2 51,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,103,Endgame,a2a3,41,-266,307,307,Blunder,52,White,a3,8/5r2/2p5/1p3P2/p1k3PB/7K/P1Bb4/8 w - - 0 52,Pawn move,Non-capture,Queenside-related,Endgame blunder,Pawn structure / push blunder
160,2026.03.12,Black,hema980,Loss,180+2,hema980 won on time,34,Middlegame,f6f5,85,-446,531,531,Blunder,17,Black,f5,r2qnrk1/1b1p2pp/4pp2/1p2n3/3N4/PB4Q1/1P1B1PPP/R4RK1 b - - 0 17,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
160,2026.03.12,Black,hema980,Loss,180+2,hema980 won on time,40,Middlegame,f6g6,-157,-492,335,335,Blunder,20,Black,Qg6,r3nrk1/3p2pp/2b1pq2/1N2Bp2/8/PB4Q1/1P3PPP/R4RK1 b - - 0 20,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
161,2026.03.12,Black,Koko0519,Loss,180+2,Koko0519 won on time,48,Endgame,b7f3,410,-169,579,579,Blunder,24,Black,Bxf3+,1k1r1b2/1b2n2r/p2pBB2/7q/Pp1P4/5N1P/1PP2PK1/R2Q1R2 b - - 0 24,Pawn move,Capture,Kingside-related,Endgame blunder,Kingside weakening move
162,2026.03.10,Black,1joke11,Win,1/86400,KatsMeow23 won by resignation,24,Middlegame,d7d6,726,290,436,436,Blunder,12,Black,d6,r1bq1rk1/pp1p1ppp/1b2pnn1/4Q3/1P1NP3/2P2P2/PB4PP/RN2KB1R b KQ - 8 12,Pawn move,Non-capture,Central-related,Early middlegame blunder,Pawn structure / push blunder
163,2026.02.28,Black,adamhofer,Win,1/259200,KatsMeow23 won on time,16,Opening,f8d6,288,-364,652,652,Blunder,8,Black,Bd6,r3kb1r/pbqp1ppp/1pn1pn2/2p1N3/4PB2/2NP4/PPP1BPPP/R2Q1RK1 b kq - 9 8,Piece move,Non-capture,Kingside-related,Opening blunder,Quiet move blunder
164,2026.03.10,Black,ItsJoeAgain,Win,1/86400,KatsMeow23 won by resignation,24,Middlegame,b5b4,9,-353,362,362,Blunder,12,Black,b4,r3kb1r/1b1p1ppp/p1n1p3/qp2P3/P1pNB3/2P2Q2/2PP1PPP/R1B2RK1 b kq - 4 12,Piece move,Non-capture,Queenside-related,Early middlegame blunder,Quiet move blunder
165,2026.03.12,White,jbrum11,Win,180+2,KatsMeow23 won by resignation,39,Middlegame,f3f4,202,-195,397,397,Blunder,20,White,f4,2r2rk1/1p3ppp/8/p7/2nbP3/P4PB1/1P2BP1P/1R3RK1 w - - 7 20,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
167,2026.03.13,White,MurodjonR,Win,180+2,KatsMeow23 won by checkmate,49,Endgame,a1e1,-620,-9999,9379,1000,Blunder,25,White,Re1,r2r2k1/p4ppp/2p5/8/B2bR1PP/6q1/P3Q3/R4K2 w - - 0 25,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
168,2026.03.13,Black,MurodjonR,Loss,180+2,MurodjonR won on time,24,Middlegame,g8h8,137,-356,493,493,Blunder,12,Black,Kh8,r2q1rk1/1b1pb1pp/pp2Bn2/n1p3N1/P3P3/N2P4/1PP3PP/R1BQ1RK1 b - - 0 12,Piece move,King move,Kingside-related,Early middlegame blunder,Unsafe king move
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,53,Middlegame,e5f6,117,-261,378,378,Blunder,27,White,exf6,r4r1k/1pp1b2p/p3Qp2/4P1p1/1P2p3/P3P2P/1B3RPK/3q4 w - - 0 27,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,61,Endgame,f2f6,469,108,361,361,Blunder,31,White,Rf6,r6k/1pp2Q1p/p7/6p1/1P2p3/P3P2P/5RPK/3q4 w - - 3 31,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,67,Endgame,e8e4,603,217,386,386,Blunder,34,White,Qxe4,4Q1rk/1pp4p/p6R/6p1/1P2p3/P3P2P/6PK/3q4 w - - 9 34,Piece move,Capture,Central-related,Endgame blunder,Unsafe capture
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,69,Endgame,e4b7,9999,211,9788,1000,Blunder,35,White,Qxb7,3q2rk/1pp4p/p6R/6p1/1P2Q3/P3P2P/6PK/8 w - - 1 35,Piece move,Capture,Queenside-related,Endgame blunder,Unsafe capture
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,71,Endgame,h6h5,374,-19,393,393,Blunder,36,White,Rh5,3q3k/1Qp4p/p5rR/6p1/1P6/P3P2P/6PK/8 w - - 1 36,Piece move,Non-capture,Kingside-related,Endgame blunder,Quiet move blunder
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,75,Endgame,h2g1,-1,-326,325,325,Blunder,38,White,Kg1,7k/1Qp4p/p5r1/6pR/1P6/P3P1PP/3q3K/8 w - - 1 38,Pawn move,King move,Kingside-related,Endgame blunder,Unsafe king move
173,2026.03.14,Black,fregavaraojo,Win,900+10,KatsMeow23 won on time,10,Opening,e7e6,-162,-500,338,338,Blunder,5,Black,e6,rnbqkb1r/pp1ppppp/8/2p1P3/2PP1n2/5N2/PP3PPP/RNBQKB1R b KQkq - 0 5,Pawn move,Non-capture,Central-related,Opening blunder,Pawn structure / push blunder
174,2026.03.14,White,eirpoo,Loss,180+2,eirpoo won on time,57,Middlegame,h2g1,409,-127,536,536,Blunder,29,White,Kg1,6k1/p4p1p/6p1/2pb2N1/2B3Pq/1P6/P1Q3PK/8 w - - 1 29,Pawn move,King move,Kingside-related,Middlegame blunder,Unsafe king move
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,39,Middlegame,g1h1,509,22,487,487,Blunder,20,White,Kh1,2k1r3/pp1n1p1r/2p5/2Pp1Qpp/3P4/2B1q3/PP3RPP/5RK1 w - - 4 20,Piece move,King move,Kingside-related,Middlegame blunder,Unsafe king move
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,45,Middlegame,a5c3,470,32,438,438,Blunder,23,White,Bc3,4r3/2kn1p1r/1pp5/B2p1Qpp/3P4/4q3/PP3RPP/5R1K w - - 0 23,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,47,Middlegame,a2a3,557,125,432,432,Blunder,24,White,a3,4r3/2kn1p1r/2p5/1p1p1Qpp/3P4/2B1q3/PP3RPP/5R1K w - - 0 24,Pawn move,Non-capture,Queenside-related,Middlegame blunder,Pawn structure / push blunder
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,49,Middlegame,f2f3,553,91,462,462,Blunder,25,White,Rf3,4r3/2k2p1r/1np5/1p1p1Qpp/3P4/P1B1q3/1P3RPP/5R1K w - - 1 25,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,57,Middlegame,f3f2,601,-398,999,999,Blunder,29,White,R3f2,4r3/8/k1p5/1p1p2pQ/2nP4/P1B2R2/1P2q1PP/5R1K w - - 1 29,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
175,2026.03.14,White,vedujiballeballe,Loss,180+2,vedujiballeballe won on time,69,Middlegame,h2h3,0,-599,599,599,Blunder,35,White,h3,8/1k6/8/1p1p2p1/3P3q/P1B5/1P4PP/4r1RK w - - 3 35,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
176,2026.03.14,Black,leminhtri8880gmailcom,Win,180+2,KatsMeow23 won by resignation,34,Middlegame,e4f2,514,176,338,338,Blunder,17,Black,Nxf2,2r2rk1/1p1pq1p1/p3p2p/2p1n3/4n3/3B4/PPP2PPP/2KRQ1NR b - - 1 17,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
176,2026.03.14,Black,leminhtri8880gmailcom,Win,180+2,KatsMeow23 won by resignation,38,Middlegame,g8f7,263,-127,390,390,Blunder,19,Black,Kf7,2r2rk1/1p1pq1p1/p3p2p/2p5/4Q3/3B4/PPP3PP/2KR2Nn b - - 1 19,Piece move,King move,Kingside-related,Middlegame blunder,Unsafe king move
176,2026.03.14,Black,leminhtri8880gmailcom,Win,180+2,KatsMeow23 won by resignation,42,Middlegame,f8f5,16,-349,365,365,Blunder,21,Black,Rf5,2r2rk1/1p1pq1p1/p3p1Qp/2p5/8/3B1N2/PPP3PP/2KR3n b - - 5 21,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
177,2026.03.14,Black,Solvur,Loss,180+2,Solvur won by resignation,58,Middlegame,f8e8,709,-308,1017,1000,Blunder,29,Black,Ke8,b4kr1/3p3p/1q3Q1N/1pbPp3/2p1P3/2N3P1/2P5/1B3K2 b - - 0 29,Piece move,King move,Kingside-related,Middlegame blunder,Unsafe king move
177,2026.03.14,Black,Solvur,Loss,180+2,Solvur won by resignation,60,Middlegame,b6e6,-279,-729,450,450,Blunder,30,Black,Qe6,b3k1r1/3p3p/1q5N/1pbPQ3/2p1P3/2N3P1/2P5/1B3K2 b - - 0 30,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
177,2026.03.14,Black,Solvur,Loss,180+2,Solvur won by resignation,118,Endgame,c8b8,-894,-9993,9099,1000,Blunder,59,Black,Kb8,2k3B1/8/2PK4/4N3/8/8/8/8 b - - 4 59,Piece move,King move,Queenside-related,Endgame blunder,Unsafe king move
178,2026.03.14,White,Sealpichon,Loss,180+2,Sealpichon won on time,35,Middlegame,e1e5,403,-195,598,598,Blunder,18,White,Rxe5,r2qkb1r/4pppp/2p2n2/4n3/3P1Nb1/p4P2/P1BN2PP/R1BQR1K1 w kq - 0 18,Piece move,Capture,Central-related,Middlegame blunder,Unsafe capture
178,2026.03.14,White,Sealpichon,Loss,180+2,Sealpichon won on time,93,Endgame,b3b4,-974,-9997,9023,1000,Blunder,47,White,Kb4,3r2k1/5ppp/2p1p3/8/2B5/1K2q3/8/8 w - - 6 47,Piece move,King move,Queenside-related,Endgame blunder,Unsafe king move
179,2026.03.14,White,tayjking1,Loss,180+2,tayjking1 won by checkmate,19,Opening,a8d5,241,-238,479,479,Blunder,10,White,Qxd5,Qn1qkb1r/p1p1p1pp/5p2/1p1bN3/2pP4/2P1P3/P4PPP/R1B1KB1R w KQk - 1 10,Piece move,Capture,Queenside-related,Opening blunder,Unsafe capture
179,2026.03.14,White,tayjking1,Loss,180+2,tayjking1 won by checkmate,47,Endgame,d4e5,-474,-932,458,458,Blunder,24,White,dxe5,1n3r1k/p5pp/8/1ppBpqP1/2pP1b1P/2P5/P4B2/4RRK1 w - - 3 24,Piece move,Capture,Central-related,Endgame blunder,Unsafe capture
179,2026.03.14,White,tayjking1,Loss,180+2,tayjking1 won by checkmate,51,Endgame,g1h1,-477,-9998,9521,1000,Blunder,26,White,Kh1,1n3r1k/p5pp/8/1pBBb1P1/2p3qP/2P5/P7/4RRK1 w - - 1 26,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
180,2026.03.14,Black,kouazzi,Loss,900+10,kouazzi won on time,64,Endgame,f6g5,141,-323,464,464,Blunder,32,Black,Qg5,3r1r1k/3p4/p4q1p/1p1P4/6P1/1P1Q1pP1/P3nP1N/R3R2K b - - 2 32,Piece move,Non-capture,Kingside-related,Endgame blunder,Quiet move blunder
180,2026.03.14,Black,kouazzi,Loss,900+10,kouazzi won on time,68,Endgame,e2g3,-29,-441,412,412,Blunder,34,Black,Nxg3+,4rr1k/3p4/p2P3p/1p4q1/6P1/1P1Q1NP1/P3nP2/R3R2K b - - 0 34,Pawn move,Capture,Kingside-related,Endgame blunder,Kingside weakening move
180,2026.03.14,Black,kouazzi,Loss,900+10,kouazzi won on time,78,Endgame,g7b2,-492,-853,361,361,Blunder,39,Black,Qb2+,5r1k/3pR1q1/p2P4/1p5p/8/1P1Q2P1/P5KN/8 b - - 1 39,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,40,Middlegame,c3b4,9998,252,9746,1000,Blunder,20,Black,Bxb4,2kr3r/1b1n3p/p3p3/qpp5/1P3P1P/2bP1N1R/1P2QB2/2KR1B2 b - - 0 20,Piece move,Capture,Queenside-related,Middlegame blunder,Unsafe capture
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,56,Middlegame,e4g5,559,231,328,328,Blunder,28,Black,Nxg5,2r4r/1k5p/p3p3/qp1b2N1/3PnP1P/1p5R/1P2K3/1Q1R1B2 b - - 2 28,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,68,Middlegame,a5a4,327,24,303,303,Blunder,34,Black,Qa4,6r1/4R3/pk2p3/qp1b2P1/3P1PK1/1p1R4/1Pr5/1Q3B2 b - - 4 34,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,74,Middlegame,a5b4,628,-88,716,716,Blunder,37,Black,Kb4,6r1/2Q1R3/p3p3/kp1b2P1/3P1PK1/1p1R4/qPr5/5B2 b - - 10 37,Piece move,King move,Queenside-related,Middlegame blunder,Unsafe king move
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,76,Middlegame,b4a4,-74,-9996,9922,1000,Blunder,38,Black,Ka4,6r1/4R3/p2Qp3/1p1b2P1/1k1P1PK1/1p1R4/qPr5/5B2 b - - 12 38,Piece move,King move,Queenside-related,Middlegame blunder,Unsafe king move
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,78,Middlegame,g8a8,-292,-9997,9705,1000,Blunder,39,Black,Ra8,6r1/R7/p2Qp3/1p1b2P1/k2P1PK1/1p1R4/qPr5/5B2 b - - 14 39,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
181,2026.03.14,Black,TimonSM1,Win,900+10,KatsMeow23 won by checkmate,94,Endgame,e2c4,9998,870,9128,1000,Blunder,47,Black,Qc4,r7/8/p2QRKP1/1p6/k2P1P2/6r1/4q3/1q6 b - - 0 47,Pawn move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
182,2026.03.15,Black,malllllooonnnnssss,Win,900+10,KatsMeow23 won by resignation,48,Middlegame,e5f3,391,-9,400,400,Blunder,24,Black,Nxf3,r3k2r/3p1pRp/p7/4n3/8/P4P2/5P1P/RN5K b kq - 0 24,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
182,2026.03.15,Black,malllllooonnnnssss,Win,900+10,KatsMeow23 won by resignation,62,Middlegame,d7d6,-4,-428,424,424,Blunder,31,Black,d6,3r4/r2pNpkp/p5n1/8/5P2/P5R1/7P/R6K b - - 0 31,Pawn move,Non-capture,Central-related,Middlegame blunder,Pawn structure / push blunder
182,2026.03.15,Black,malllllooonnnnssss,Win,900+10,KatsMeow23 won by resignation,82,Endgame,c6f6,473,75,398,398,Blunder,41,Black,Rxf6,6k1/5p1p/p1r2Pn1/5N2/8/P6R/7P/7K b - - 8 41,Piece move,Capture,Kingside-related,Endgame blunder,Unsafe capture
183,2026.03.15,Black,letsplayholii,Loss,900+10,letsplayholii won on time,46,Middlegame,f6f5,162,-225,387,387,Blunder,23,Black,Qf5+,r4rk1/1p3ppp/5q2/n2B3P/2P2Pb1/pPN5/P1KQ4/6RR b - - 2 23,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
183,2026.03.15,Black,letsplayholii,Loss,900+10,letsplayholii won on time,58,Middlegame,a5b3,457,75,382,382,Blunder,29,Black,Nxb3+,r4rk1/1p4pp/8/n4b1P/2P2q2/pPN5/P5Q1/K5RR b - - 3 29,Piece move,Capture,Queenside-related,Middlegame blunder,Unsafe capture
183,2026.03.15,Black,letsplayholii,Loss,900+10,letsplayholii won on time,98,Endgame,g5g4,-9,-508,499,499,Blunder,49,Black,g4,6k1/1R5p/7P/r5p1/4N3/1K6/8/8 b - - 3 49,Piece move,Non-capture,Kingside-related,Endgame blunder,Quiet move blunder
184,2026.03.15,White,welcoming,Loss,180+2,welcoming won on time,31,Middlegame,h4g6,106,-248,354,354,Blunder,16,White,Nxg6+,r3qr1k/1bpnn1b1/pp1p1ppp/3Pp3/PPP1P2N/3B1N2/1B2QPPP/R4RK1 w - - 0 16,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
185,2026.03.15,White,masteroflegends94,Loss,180+2,masteroflegends94 won on time,45,Endgame,g3f4,294,-192,486,486,Blunder,23,White,gxf4,5rk1/2p2ppp/Q2b4/2N5/2N2n2/1P4Pq/P1P2P1P/3R1RK1 w - - 1 23,Piece move,Capture,Kingside-related,Endgame blunder,Unsafe capture
187,2026.03.15,Black,Copperhills,Win,180+2,KatsMeow23 won by checkmate,34,Middlegame,d7f6,321,-92,413,413,Blunder,17,Black,Nf6,1r1q1rk1/pB1nbppp/3p4/1QpP4/8/1P3P1P/P1PB1P2/R4RK1 b - - 0 17,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
187,2026.03.15,Black,Copperhills,Win,180+2,KatsMeow23 won by checkmate,36,Middlegame,d8e8,358,-126,484,484,Blunder,18,Black,Qe8,1r1q1rk1/pB2bppp/3p1n2/BQpP4/8/1P3P1P/P1P2P2/R4RK1 b - - 2 18,Piece move,Non-capture,Central-related,Middlegame blunder,Quiet move blunder
187,2026.03.15,Black,Copperhills,Win,180+2,KatsMeow23 won by checkmate,38,Middlegame,b8b7,548,-132,680,680,Blunder,19,Black,Rxb7,1r2qrk1/pBB1bppp/3p1n2/1QpP4/8/1P3P1P/P1P2P2/R4RK1 b - - 4 19,Piece move,Capture,Queenside-related,Middlegame blunder,Unsafe capture
188,2026.03.15,White,fonfino,Win,180+2,KatsMeow23 won on time,23,Middlegame,b3c2,9999,389,9610,1000,Blunder,12,White,Qxc2,r2q1bBr/ppp1k1pp/8/4p3/3P4/1Q2P3/PPb2PPP/R1B1K2R w KQ - 0 12,Piece move,Capture,Queenside-related,Early middlegame blunder,Unsafe capture
