GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel,MoveNumber,SideToMove,MoveSAN,FENBefore,MoveTypeV1,SANTypeV1,BoardZoneV1,PhaseLabelV1,BlunderClassV2
120,2026.03.07,Black,Naga_Srinivas,Loss,600,Naga_Srinivas won by resignation,48,Middlegame,g5b5,-25,-663,638,638,Blunder,24,Black,Qb5,3r2k1/3b1ppp/pQ2p3/6q1/2r5/5B2/P4PPP/3R1RK1 b - - 1 24,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
121,2026.03.07,White,spleefer420,Win,180+2,KatsMeow23 won by resignation,19,Opening,b5c3,701,103,598,598,Blunder,10,White,Nc3,r2qkbnr/p3n1pp/2pp1p2/1N2p3/P3P3/5N2/1PP2PPP/R1BQK2R w KQkq - 0 10,Piece move,Non-capture,Queenside-related,Opening blunder,Quiet move blunder
121,2026.03.07,White,spleefer420,Win,180+2,KatsMeow23 won by resignation,49,Middlegame,g1h2,264,-332,596,596,Blunder,25,White,Kh2,r5qr/p4k2/1n1p1p1b/1P1Pp3/2P2P1p/1Q2B2P/3N4/R4RK1 w - - 1 25,Piece move,King move,Kingside-related,Middlegame blunder,Unsafe king move
121,2026.03.07,White,spleefer420,Win,180+2,KatsMeow23 won by resignation,75,Endgame,f6f3,139,-230,369,369,Blunder,38,White,R6f3,6r1/p5k1/1n1p1R2/1P1Pp3/2P3qp/4Q3/4KR2/8 w - - 3 38,Piece move,Non-capture,Kingside-related,Endgame blunder,Quiet move blunder
124,2026.03.07,Black,shamwowwwwww,Win,180+2,KatsMeow23 won by checkmate,52,Middlegame,a8c8,745,380,365,365,Blunder,26,Black,Rc8,r2k1r2/3p2pp/p3p3/1pp1P3/5q2/1P3B2/P3Q2P/3R3K b - - 3 26,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
124,2026.03.07,Black,shamwowwwwww,Win,180+2,KatsMeow23 won by checkmate,74,Endgame,c5c4,9998,820,9178,1000,Blunder,37,Black,c4,8/3p3p/pk2p1p1/1pp1P3/1P3r1P/5q2/P6K/2Q5 b - - 0 37,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
124,2026.03.07,Black,shamwowwwwww,Win,180+2,KatsMeow23 won by checkmate,80,Endgame,f3g3,9999,995,9004,1000,Blunder,40,Black,Qg3+,8/1k1p3p/p3p1p1/1pQ1P3/1Pp4r/5q2/P7/6K1 b - - 1 40,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
124,2026.03.07,Black,shamwowwwwww,Win,180+2,KatsMeow23 won by checkmate,84,Endgame,g3h2,9995,879,9116,1000,Blunder,42,Black,Qh2+,8/1k1p3p/p3p1p1/1pQ1P3/1Pp5/6q1/P3K3/7r b - - 5 42,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
125,2026.03.07,Black,ajpj12,Loss,180+2,ajpj12 won by resignation,58,Middlegame,c7b6,-25,-538,513,513,Blunder,29,Black,Kb6,5r2/R1k5/4p3/4pp2/1p1b4/1P1P1BP1/2P4P/5R1K b - - 0 29,Pawn move,King move,Queenside-related,Middlegame blunder,Unsafe king move
126,2026.03.08,White,stev123321,Loss,180+2,stev123321 won on time,45,Endgame,g1g2,-729,-1159,430,430,Blunder,23,White,Kg2,r5k1/pbpp2pp/1p3r2/6q1/6P1/2PB1n2/P1Q2R2/R5K1 w - - 0 23,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
