GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
282,2026.03.25,White,nth49,Loss,180+2,nth49 won on time,65,Endgame,e5e4,767,120,647,647,Blunder
282,2026.03.25,White,nth49,Loss,180+2,nth49 won on time,69,Endgame,f1e1,188,-322,510,510,Blunder
283,2026.03.25,White,SignoreF,Loss,180+2,SignoreF won on time,17,Opening,f3g4,123,-219,342,342,Blunder
283,2026.03.25,White,SignoreF,Loss,180+2,SignoreF won on time,69,Endgame,a6a7,313,-151,464,464,Blunder
285,2026.03.25,White,saadmfhoumch,Loss,600,saadmfhoumch won by resignation,17,Opening,e1g1,204,-240,444,444,Blunder
285,2026.03.25,White,saadmfhoumch,Loss,600,saadmfhoumch won by resignation,27,Middlegame,c3b5,325,-254,579,579,Blunder
285,2026.03.25,White,saadmfhoumch,Loss,600,saadmfhoumch won by resignation,43,Endgame,h4h7,-431,-762,331,331,Blunder
286,2026.03.26,Black,Castlecrater,Win,180+2,KatsMeow23 won on time,16,Opening,c6a7,197,-111,308,308,Blunder
286,2026.03.26,Black,Castlecrater,Win,180+2,KatsMeow23 won on time,66,Endgame,g4g3,9994,871,9123,1000,Blunder
286,2026.03.26,Black,Castlecrater,Win,180+2,KatsMeow23 won on time,68,Endgame,g3g2,9998,1090,8908,1000,Blunder
286,2026.03.26,Black,Castlecrater,Win,180+2,KatsMeow23 won on time,70,Endgame,h5h3,9998,898,9100,1000,Blunder
287,2026.03.26,Black,Aaankit016,Loss,180+2,Aaankit016 won on time,40,Middlegame,c5a7,469,-24,493,493,Blunder
288,2026.03.26,Black,Garipov01,Loss,180+2,Garipov01 won by checkmate,10,Opening,f7f6,462,-90,552,552,Blunder
288,2026.03.26,Black,Garipov01,Loss,180+2,Garipov01 won by checkmate,34,Middlegame,c7f4,366,-457,823,823,Blunder
288,2026.03.26,Black,Garipov01,Loss,180+2,Garipov01 won by checkmate,80,Endgame,c4e3,135,-9998,10133,1000,Blunder
289,2026.03.26,White,Octavioae,Loss,180+2,Octavioae won on time,15,Opening,a2a3,245,-150,395,395,Blunder
289,2026.03.26,White,Octavioae,Loss,180+2,Octavioae won on time,61,Endgame,b4b5,-704,-1027,323,323,Blunder
289,2026.03.26,White,Octavioae,Loss,180+2,Octavioae won on time,65,Endgame,g2f3,-1051,-9997,8946,1000,Blunder
289,2026.03.26,White,Octavioae,Loss,180+2,Octavioae won on time,67,Endgame,f3g2,-1045,-9993,8948,1000,Blunder
289,2026.03.26,White,Octavioae,Loss,180+2,Octavioae won on time,69,Endgame,a3a4,-808,-1159,351,351,Blunder
290,2026.03.26,White,Bambinu19,Loss,180+2,Bambinu19 won on time,45,Middlegame,f4g5,482,-448,930,930,Blunder
291,2026.03.23,Black,yellofixx,Loss,1/86400,yellofixx won by checkmate,14,Opening,e8g8,37,-275,312,312,Blunder
291,2026.03.23,Black,yellofixx,Loss,1/86400,yellofixx won by checkmate,20,Opening,c6b4,230,-202,432,432,Blunder
291,2026.03.23,Black,yellofixx,Loss,1/86400,yellofixx won by checkmate,22,Middlegame,g7f6,433,0,433,433,Blunder
291,2026.03.23,Black,yellofixx,Loss,1/86400,yellofixx won by checkmate,24,Middlegame,d7d5,0,-301,301,301,Blunder
291,2026.03.23,Black,yellofixx,Loss,1/86400,yellofixx won by checkmate,28,Middlegame,b6c5,-478,-9999,9521,1000,Blunder
292,2026.03.16,White,martinez51490,Win,1/86400,KatsMeow23 won by checkmate,25,Middlegame,g4h4,498,-21,519,519,Blunder
292,2026.03.16,White,martinez51490,Win,1/86400,KatsMeow23 won by checkmate,55,Middlegame,b5d3,231,-70,301,301,Blunder
294,2026.03.27,White,SAAAASHA,Win,180+2,KatsMeow23 won by checkmate,29,Middlegame,f3g5,112,-199,311,311,Blunder
295,2026.03.27,White,Jasir0330,Loss,180+2,Jasir0330 won on time,31,Middlegame,e3d2,177,-287,464,464,Blunder
295,2026.03.27,White,Jasir0330,Loss,180+2,Jasir0330 won on time,63,Middlegame,c5c4,360,-518,878,878,Blunder
297,2026.03.27,Black,gajes69,Win,180+2,KatsMeow23 won by resignation,20,Opening,d5d4,21,-291,312,312,Blunder
298,2026.03.27,White,Suvo0055,Loss,180+2,Suvo0055 won on time,35,Middlegame,c1b1,25,-328,353,353,Blunder
299,2026.03.23,Black,Ftr-95,Loss,1/86400,Ftr-95 won by resignation,20,Opening,d6e7,6,-327,333,333,Blunder
299,2026.03.23,Black,Ftr-95,Loss,1/86400,Ftr-95 won by resignation,28,Middlegame,b7f3,-94,-558,464,464,Blunder
300,2026.03.27,White,DaltonIEBR,Win,180+2,KatsMeow23 won by resignation,29,Middlegame,d3g6,84,-318,402,402,Blunder
